datetime,open,high,low,close,volume,upper_band,middle_band,lower_band,ema,macd,macd_signal,macd_hist,rsi,sma,slow_k,slow_d
2024-05-31,191.44000,192.57001,189.91000,192.25000,75115100,194.69879,187.96000,181.22121,190.18787,4.03463,4.20878,-0.17415,67.01906,190.55222,91.05012,81.90442
2024-05-30,190.75999,192.17999,190.63000,191.28999,49947900,194.23506,187.51650,180.79794,189.67234,4.06748,4.25232,-0.18484,65.55110,190.28778,79.59420,75.67438
2024-05-29,189.61000,192.25000,189.50999,190.28999,53068000,195.59953,186.60350,177.60747,189.26792,4.14800,4.29853,-0.15053,64.00128,190.12666,75.06892,74.15028
2024-05-28,191.50999,193.00000,189.10001,189.99001,52280100,197.11631,185.55400,173.99169,189.01241,4.29225,4.33616,-0.04391,63.54441,190.06333,72.36001,65.04640
2024-05-24,188.82001,190.58000,188.03999,189.98000,36294600,197.69503,184.57100,171.44697,188.76801,4.44448,4.34714,0.09734,63.53007,189.77889,75.02191,69.09841
2024-05-23,190.98000,191.00000,186.63000,186.88000,51005900,197.46510,183.74700,170.02890,188.46501,4.57515,4.32280,0.25235,58.87814,189.36778,47.75728,76.39549
2024-05-22,192.27000,192.82001,190.27000,190.89999,34648500,197.86386,182.86800,167.87214,188.86126,4.99103,4.25971,0.73131,69.56263,189.30111,84.51603,92.41489
2024-05-21,191.09000,192.73000,190.92000,192.35001,42309400,197.34955,181.81750,166.28545,188.35158,5.03993,4.07688,0.96304,74.06427,188.42889,96.91316,95.71171
2024-05-20,189.33000,191.92000,189.00999,191.03999,44361300,196.34719,180.65100,164.95482,187.35197,4.88140,3.83612,1.04527,72.57541,187.56444,95.81548,94.83069
2024-05-17,189.50999,190.81000,189.17999,189.87000,41282900,195.46819,179.44400,163.41981,186.42997,4.74144,3.57480,1.16663,71.20451,186.64222,94.40650,94.78635
2024-05-16,190.47000,191.10001,189.66000,189.84000,52845200,194.56040,178.24250,161.92460,185.56996,4.61295,3.28315,1.32981,71.17020,185.85000,94.27008,95.13963
2024-05-15,187.91000,190.64999,187.37000,189.72000,70400000,193.37963,177.00050,160.62137,184.50245,4.38492,2.95069,1.43423,71.04204,184.94667,95.68248,95.60720
2024-05-14,187.50999,188.30000,186.28999,187.42999,52393600,191.69740,175.86650,160.03561,183.19806,4.04231,2.59214,1.45017,68.56570,184.24222,95.46634,95.73792
2024-05-13,185.44000,187.10001,184.62000,186.28000,72044800,190.14215,174.89500,159.64785,182.14008,3.77937,2.22960,1.54978,67.26016,182.64223,95.67279,91.28598
2024-05-12,185.44000,187.10001,184.64000,186.28000,70340080,188.53374,174.05000,159.56626,181.10510,3.50589,1.84215,1.66374,67.26016,180.75556,96.07464,89.08467
2024-05-10,184.89999,185.09000,182.13000,183.05000,50759500,186.72667,173.37050,160.01433,179.81138,3.10584,1.42621,1.67962,63.59881,178.98334,82.11052,84.19767
2024-05-09,182.56000,184.66000,182.11000,184.57001,48983000,185.74385,173.04550,160.34715,179.00172,2.87892,1.00631,1.87261,66.86642,177.92223,89.06886,83.96538
2024-05-08,182.85001,183.07001,181.45000,182.74001,45057100,184.16955,172.56900,160.96846,177.60965,2.39264,0.53816,1.85449,64.84730,176.22556,81.41364,79.91567
2024-05-07,182.71001,183.00999,181.75999,182.74001,44075356,182.60208,171.82100,161.03992,176.32706,1.92351,0.07454,1.84897,64.84730,174.79778,81.41364,80.84645
2024-05-06,182.35001,184.20000,180.42000,181.71001,78569700,180.73849,171.16750,161.59651,174.72383,1.29674,-0.38771,1.68445,63.77601,173.27334,76.91975,77.48013
2024-05-03,186.64999,187.00000,182.66000,183.38000,163224100,178.81676,170.50450,162.19224,172.97728,0.58277,-0.80882,1.39159,66.84290,171.62778,84.20595,64.02510
2024-05-02,172.50999,173.42000,170.89000,173.03000,94214900,175.66296,169.81450,163.96604,170.37660,-0.50703,-1.15672,0.64969,54.15572,169.67889,71.31470,50.54561
2024-05-01,169.58000,172.71001,169.11000,169.30000,50383100,175.27472,169.60400,163.93328,169.71325,-0.83681,-1.31914,0.48232,47.42342,168.78667,36.55463,48.76284
2024-04-30,173.33000,174.99001,170.00000,170.33000,65934800,175.29052,169.62150,163.95248,169.81657,-0.86579,-1.43972,0.57393,49.27902,168.53555,43.76751,48.76284
2024-04-29,173.37000,176.03000,173.10001,173.50000,68169400,175.21598,169.54700,163.87802,169.68821,-0.99505,-1.58320,0.58815,55.48330,168.27667,65.96638,47.73576
2024-04-26,169.88000,171.34000,169.17999,169.30000,44838400,174.75294,169.37350,163.99406,168.73526,-1.46832,-1.73024,0.26192,47.32412,167.81889,36.55463,37.27825
2024-04-25,169.53000,170.61000,168.14999,169.89000,50558300,174.93935,169.48250,164.02565,168.59407,-1.62339,-1.79572,0.17233,48.48325,168.19555,40.68626,31.67599
2024-04-24,166.53999,169.30000,166.21001,169.02000,48251800,175.35937,169.65350,163.94762,168.27009,-1.85778,-1.83880,-0.01898,46.69555,168.93556,34.59386,22.22220
2024-04-23,165.35001,167.05000,164.92000,166.89999,49537800,175.38648,169.68800,163.98952,168.08261,-2.04135,-1.83406,-0.20729,42.15341,169.60444,19.74785,12.83843
2024-04-22,165.52000,167.25999,164.77000,165.84000,48116400,175.45614,169.88550,164.31486,168.37826,-2.03010,-1.78223,-0.24786,39.77061,169.70222,12.32489,7.63880
2024-04-19,166.21001,166.39999,164.08000,165.00000,67772100,175.54518,170.20750,164.86982,169.01283,-1.87828,-1.72027,-0.15801,37.88795,170.12778,6.44256,6.16754
2024-04-18,168.03000,168.64000,166.55000,167.03999,43122900,175.31471,170.52600,165.73729,170.01604,-1.57165,-1.68077,0.10911,40.76123,170.51111,4.14894,10.74596
2024-04-17,169.61000,170.64999,168.00000,168.00000,50901200,176.80080,171.10750,165.41420,170.76005,-1.36514,-1.70804,0.34291,42.15832,170.79333,7.91111,25.89631
2024-04-16,171.75000,173.75999,168.27000,169.38000,73711200,177.40850,171.51150,165.61450,171.45006,-1.17944,-1.79377,0.61433,44.17956,170.88445,20.17782,51.22965
2024-04-15,175.36000,176.63000,172.50000,172.69000,73531800,177.61519,171.72850,165.84181,171.96758,-1.06577,-1.94735,0.88158,49.46109,170.91444,49.60002,76.16035
2024-04-12,174.25999,178.36000,174.21001,176.55000,101593300,177.60948,171.72500,165.84052,171.78697,-1.24221,-2.16775,0.92554,56.81615,170.48667,83.91113,61.77858
2024-04-11,168.34000,175.46001,168.16000,175.03999,91070300,177.04023,171.54750,166.05477,170.59621,-1.84236,-2.39913,0.55677,54.35029,169.76222,94.96990,38.40591
2024-04-10,168.80000,169.09000,167.11000,167.78000,49709300,176.60677,171.35200,166.09723,169.48527,-2.42782,-2.53833,0.11050,38.73110,169.36667,6.45470,7.45170



